video_gameLabel,Entities,genre,platform,gameModes,inputDevice
Nyrthos,Q7071260,action role-playing game,macOS; Android; web browser; iOS,,touchscreen
NyxQuest: Kindred Spirits,Q7071321,platform game,Microsoft Windows; macOS; iOS; Wii,multiplayer video game; single-player video game,touchscreen; Wii Remote
O'Leary Manager 2000,Q7071857,association football video game,Game Boy Color,two-player video game,
OMG-Z,Q7072710,action game,PlayStation 3; Nintendo Switch; Microsoft Windows; PlayStation Vita,single-player video game,
Oasis,Q7074403,puzzle video game,Microsoft Windows; iOS,single-player video game,touchscreen; mouse
Obsidian,Q7075517,science fiction video game; adventure game,Microsoft Windows; Classic Mac OS,single-player video game,
Octomania,Q7077029,puzzle video game,Wii,multiplayer video game; single-player video game,Wii Remote
Oddballz,Q7077471,digital pet,Microsoft Windows,single-player video game,
Oddworld: Hand of Odd,Q7077554,real-time strategy,,multiplayer video game; single-player video game,
Oddworld: New 'n' Tasty!,Q7077555,Metroidvania,PlayStation 3; macOS; PlayStation 4; iOS; PlayStation Vita; Microsoft Windows; Xbox One; Nintendo Switch; Android; Linux,single-player video game,touchscreen
Odell Down Under,Q7077640,educational video game,Microsoft Windows; Classic Mac OS,single-player video game,
Odell Lake,Q7077649,simulation video game,Apple II,single-player video game,
Odyssey: The Compleat Apventure,Q7078406,adventure game,Apple II,,
Off-Road Velociraptor Safari,Q7078880,vehicular combat game,macOS,single-player video game,
Off-World Interceptor,Q7078883,vehicular combat game,Sega Saturn; 3DO Interactive Multiplayer; PlayStation,single-player video game,
Off the Wall,Q7078998,action game,Atari 2600,,
Off the Wall,Q7079000,Breakout clone,arcade video game machine,,joystick
Officers,Q7079471,real-time strategy,Microsoft Windows,single-player video game,mouse; computer keyboard
Offroad Thunder,Q7079647,racing video game,arcade video game machine,demolition,
Oh Mummy,Q7080494,maze video game,ZX Spectrum; iOS; Amstrad CPC; MSX,single-player video game,touchscreen
Oh My God!,Q7080503,puzzle video game,arcade video game machine,multiplayer video game; single-player video game,joystick
Oha Suta Dance Dance Revolution,Q7080590,music video game,PlayStation,multiplayer video game; single-player video game,
Ohenro-San,Q7080661,adventure game,Nintendo GameCube,multiplayer video game; single-player video game,
Okaeri! Chibi-Robo! Happy Richie Ōsōji!,Q7081725,platform game; action-adventure game,Microsoft Windows; Nintendo DS,single-player video game,
Okamoto Ayako to Match Play Golf,Q7081758,sports video game,Super Nintendo Entertainment System,single-player video game,
Old Time Baseball,Q7085219,sports video game,DOS,single-player video game,
Olympic Decathlon,Q7089060,athletics video game,TRS-80 Model I,,
Omega Fighter,Q7089992,shoot 'em up,arcade video game machine,multiplayer video game; single-player video game,
Omega Five,Q7089995,shoot 'em up; side-scrolling video game,Xbox 360,multiplayer video game; single-player video game,
The Idolmaster Dearly Stars,Q7090222,life simulation game,Nintendo DS,multiplayer video game; single-player video game,
Omoide ni Kawaru Kimi: Memories Off,Q7090608,romance film; visual novel,PlayStation 2; Microsoft Windows; iOS; Dreamcast,,touchscreen
One Must Fall: Battlegrounds,Q7093004,science fiction video game; fighting game,Microsoft Windows,multiplayer video game; single-player video game,computer keyboard
One Night Trilogy,Q7093053,psychological horror,,single-player video game,
One Piece Grand Collection,Q7093126,,,,
One Piece Mansion,Q7093127,puzzle video game,PlayStation,multiplayer video game; single-player video game,
Onechanbara: Bikini Samurai Squad,Q7093620,hack and slash; action game,Xbox 360,single-player video game,gamepad
Ongaku Tsukūru: Kanadeeru,Q7093821,music video game,Super Nintendo Entertainment System,single-player video game,
Onimusha Tactics,Q7093915,tactical role-playing game,Game Boy Advance,single-player video game,
Onita Atsushi FMW,Q7093955,fighting game,Super Nintendo Entertainment System,multiplayer video game; single-player video game,
Onizuka Katsuya Super Virtual Boxing,Q7093966,sports video game; fighting game,Super Nintendo Entertainment System,single-player video game,
Online Chess Kingdoms,Q7094000,strategy video game,PlayStation Portable,multiplayer video game; single-player video game,gamepad
Online Pro Wrestling,Q7094042,professional wrestling video game,PlayStation 2,,
Onlineworms,Q7094140,strategy video game,Microsoft Windows,multiplayer video game,
Onyanko Town,Q7095136,action game; 2D computer graphics,Nintendo Entertainment System,single-player video game,
OpenLife Grid,Q7095819,,Microsoft Windows,,computer keyboard
Open Kart,Q7096102,racing video game,Microsoft Windows,,
Operation Blockade,Q7096705,first-person shooter,Microsoft Windows,,
Operation: Desert Storm,Q7096709,strategy video game,Classic Mac OS,single-player video game,
Operation: Matriarchy,Q7096713,first-person shooter; science fiction video game,Microsoft Windows,multiplayer video game; single-player video game,
Operation: Inner Space,Q7096714,action game,Microsoft Windows,,
Operation Barbarossa – The Struggle for Russia,Q7096786,turn-based strategy video game,Microsoft Windows,multiplayer video game; single-player video game,computer keyboard
Operation Creature Feature,Q7096939,puzzle video game,PlayStation 3,single-player video game,PlayStation Eye
Operation Darkness,Q7096955,tactical role-playing game,Xbox 360,multiplayer video game; single-player video game,gamepad
Operation Logic Bomb,Q7097243,action game; science fiction video game,Super Nintendo Entertainment System,single-player video game,
Operation Sabotage,Q7097482,interactive fiction,TRS-80 Model I,single-player video game,
Operation Secret Storm,Q7097527,action game,Nintendo Entertainment System,single-player video game,
Operation Shadow,Q7097531,,N-Gage,,
Operation Wolf 3,Q7097722,shoot 'em up,arcade video game machine,single-player video game,
Opération Teddy Bear,Q7099151,,Microsoft Windows; Classic Mac OS,,
Orange Pocket,Q7099696,drama anime and manga; visual novel; eroge,PlayStation 2; Microsoft Windows; Dreamcast,,
"OrbQuest, The Search For Seven Wards",Q7099984,,Classic Mac OS,,
Orbient,Q7100014,puzzle video game,Wii; Game Boy Advance,single-player video game,Wii Remote
Orc Attack,Q7100143,shoot 'em up,ZX Spectrum; Commodore 64,single-player video game,joystick
Order Up!,Q7100426,construction and management simulation,PlayStation 3; Android; iOS; Wii,multiplayer video game; single-player video game,touchscreen
Ordyne,Q7100959,horizontally scrolling shooter,arcade video game machine; TurboGrafx-16,,joystick
Ore no Ryouri,Q7100978,simulation video game,PlayStation,single-player video game,
Oregon Trail II,Q7101411,educational video game,Microsoft Windows; Classic Mac OS,single-player video game,
Orgarhythm,Q7102112,strategy video game,Android; PlayStation Vita,,touchscreen
Orient: A Hero's Heritage,Q7102278,role-playing video game,Microsoft Windows,single-player video game,
Orion Burger,Q7102769,adventure game,DOS; Classic Mac OS,single-player video game,mouse
Orly's Draw-A-Story,Q7103335,,DOS; Microsoft Windows; Classic Mac OS,single-player video game,computer keyboard
Orphen: Scion of Sorcery,Q7103959,role-playing video game; action game,PlayStation 2,single-player video game,
Oscar,Q7105842,platform game,DOS; Super Nintendo Entertainment System,single-player video game,computer keyboard
Oscilloscoop,Q7106422,,iOS,,
Love and Berry: Dress Up and Dance!,Q7106582,,Nintendo DS,,
Ostron,Q7107765,platform game,ZX Spectrum,,
Othello,Q7108566,chess video game,Nintendo Entertainment System; Family Computer Disk System; Philips CD-i,,
OtherSpace,Q7108576,science fiction,cross-platform,multiplayer video game,computer keyboard
Otoboke Ninja Colosseum,Q7108913,action game; maze video game,Super Nintendo Entertainment System,multiplayer video game; single-player video game,
Otogirisō,Q7108937,visual novel,Super Nintendo Entertainment System,single-player video game,
Otona no Onnaryoku Kentei,Q7108991,educational video game,Nintendo DS,single-player video game,
OurWorld,Q7110548,massively multiplayer online role-playing game,online and offline,multiplayer video game,computer keyboard
OutNumbered!,Q7111404,educational video game,DOS; Classic Mac OS,single-player video game,
Out of Gas,Q7111541,action game; science fiction video game,Game Boy,single-player video game,
Outer Space,Q7112009,shoot 'em up,Atari 2600,single-player video game,
Outernauts,Q7112047,role-playing video game; science fiction video game,web browser; iOS,,touchscreen
Outland,Q7112096,Metroidvania,PlayStation 3; macOS; Microsoft Windows; Linux,multiplayer video game; single-player video game,
Outlaw,Q7112116,shooter game,Atari 2600,single-player video game,gamepad
Outlaw Golf,Q7112125,sports video game,PlayStation 2; Microsoft Windows; Xbox; Nintendo GameCube,multiplayer video game; single-player video game,
Outlaw Volleyball,Q7112134,sports video game,PlayStation 2; Xbox,multiplayer video game; single-player video game,
Outlaws,Q7112138,shooter game,Commodore 64,single-player video game,
Outlaws of the Lost Dynasty,Q7112147,fighting game,arcade video game machine,multiplayer video game; single-player video game,
Outpost,Q7112837,fixed shooter,Apple II series,,
Outpost Kaloki X,Q7112849,city-building game,Microsoft Windows,single-player video game,gamepad
Outwars,Q7113082,science fiction video game; third-person shooter,Microsoft Windows,multiplayer video game; single-player video game,computer keyboard
Outzone,Q7113104,action game; strategy video game,Atari ST,single-player video game,
Over Horizon,Q7113402,shoot 'em up; science fiction video game,Nintendo Entertainment System,single-player video game,
Over the Hedge,Q7113488,platform game,Nintendo DS,multiplayer video game; single-player video game,
Overdrive,Q7113632,racing video game,Acorn Electron,single-player video game,
