video_gameLabel,Entities,genre,platform,gameModes,inputDevice
Warlock: Master of the Arcane,Q83995,4X; indie game; turn-based strategy video game,Microsoft Windows,single-player video game,computer keyboard
4 Soccer Simulators,Q87693,association football video game,Amstrad CPC; ZX Spectrum; Commodore 64,,
4x4 Off-Road Racing,Q88226,racing video game,DOS; Amstrad CPC; ZX Spectrum; Commodore Amiga; Commodore 64; MSX,single-player video game,
720°,Q88240,sports video game; action game,Game Boy Color; Amstrad CPC; ZX Spectrum; Commodore 64; Nintendo Entertainment System,single-player video game,
750cc Grand Prix,Q88255,racing video game,Amstrad CPC; ZX Spectrum,single-player video game,
A-Jax,Q88273,shooter game,DOS; Amstrad CPC; ZX Spectrum; Commodore 64; PlayStation 4,single-player video game,
A Question of Sport,Q88456,sports video game; quiz video game,BBC Micro; Amstrad CPC; ZX Spectrum; Commodore Amiga; Commodore 64; Atari ST,single-player video game; multiplayer video game,
A View to a Kill,Q88486,action game,Amstrad CPC; ZX Spectrum; MSX; Commodore 64,single-player video game,
Aaargh!,Q88519,action game,Classic Mac OS; DOS; Apple IIGS; Amstrad CPC; ZX Spectrum; Commodore Amiga; Commodore 64; Atari ST; MSX,co-op mode; single-player video game,
Abyss,Q88545,adventure game,ZX Spectrum; Commodore Amiga; Commodore 64,single-player video game,
Heroes of the Lance,Q88582,action-adventure game,DOS; Sega Master System; MSX; NEC PC-8800 series; Amstrad CPC; ZX Spectrum; Commodore Amiga; FM Towns; Commodore 64; Nintendo Entertainment System; Atari ST; NEC PC-9800 series,single-player video game,computer keyboard; joystick; gamepad
3-D Tic-Tac-Toe,Q88604,strategy game,Atari 2600; Atari 8-bit family,single-player video game; multiplayer video game,
Mission: Asteroid,Q88649,adventure game,Apple II; Commodore 64,single-player video game,computer keyboard
Bubble Dizzy,Q88742,action game,DOS; Amstrad CPC; ZX Spectrum; Commodore Amiga; Atari ST,single-player video game,
Bubble Bobble,Q88759,platform game,DOS; Sega Saturn; Sega Master System; Amstrad CPC; ZX Spectrum; Commodore Amiga; Family Computer Disk System; Commodore 64; Nintendo Entertainment System; Atari ST; Game Gear; MSX; PlayStation 4,co-op mode,
Captain Blood,Q88828,simulation video game; science fiction video game; adventure game,Classic Mac OS; DOS; Apple IIGS; Olivetti Prodest PC 128; Amstrad CPC; ZX Spectrum; Commodore Amiga; MOTO Gamme; Commodore 64; Atari ST,single-player video game,mouse
California Games,Q88855,sports video game,Atari 2600; DOS; Apple IIGS; Atari Lynx; Sega Master System; Microsoft Windows; Sega Genesis; Amstrad CPC; ZX Spectrum; iOS; Commodore Amiga; Commodore 64; Nintendo Entertainment System; Atari ST; MSX,single-player video game; multiplayer video game,
Cabal,Q88921,shoot 'em up,DOS; Amstrad CPC; ZX Spectrum; Commodore Amiga; Commodore 64; Nintendo Entertainment System,single-player video game,
Renegade,Q88947,beat 'em up; 2D computer graphics,DOS; Amstrad CPC; ZX Spectrum; Commodore Amiga; Commodore 64; Nintendo Entertainment System,single-player video game; multiplayer video game,
River Raid,Q88972,shoot 'em up,Atari 2600; Atari 5200; ColecoVision; ZX Spectrum; Commodore 64; MSX,single-player video game,joystick
Bumpy,Q90975,arcade-style video game; platform game,DOS; Amstrad CPC; ZX Spectrum; Commodore Amiga; Atari ST; MSX,hotseat; single-player video game,computer keyboard; joystick
Cauldron II: The Pumpkin Strikes Back,Q90985,action-adventure game; platform game; halloween video game,Amstrad CPC; ZX Spectrum; Commodore 64,single-player video game,computer keyboard
Championship Sprint,Q90990,racing video game,Xbox; Amstrad CPC; ZX Spectrum; PlayStation Portable; Commodore 64; PlayStation 3,single-player video game; multiplayer video game,
Chase H.Q.,Q90994,racing video game,Super Nintendo Entertainment System; Wii; TurboGrafx-16; Game Boy; Amstrad CPC; ZX Spectrum; Commodore Amiga; Commodore 64; Nintendo Entertainment System; Atari ST; MSX,single-player video game,racing wheel
Zombi,Q90999,action-adventure game; zombie video game,DOS; Amstrad CPC; ZX Spectrum; Commodore Amiga; Commodore 64; Atari ST,single-player video game,
Captain Dynamo,Q91084,platform game,DOS; Amstrad CPC; ZX Spectrum; Commodore Amiga; Commodore 64; Atari ST,,
Yie Ar Kung-Fu,Q91220,fighting game,BBC Micro; Game Boy Color; Commodore 16; Commodore Plus/4; PlayStation 2; Amstrad CPC; ZX Spectrum; Acorn Electron; Game Boy Advance; Commodore 64; Nintendo Entertainment System; Nintendo DS; arcade video game machine; MSX,single-player video game; multiplayer video game,
Yie Ar Kung-Fu II,Q91235,beat 'em up,BBC Micro; Thomson TO7; Thomson MO5; Amstrad CPC; ZX Spectrum; Acorn Electron; Commodore 64; Virtual Console; MSX,single-player video game,
Zaxxon,Q91247,shoot 'em up,Atari 2600; Atari 5200; Apple II; ColecoVision; SG-1000; ZX Spectrum; Commodore 64; arcade video game machine; MSX,,
Archon: The Light and the Dark,Q91268,fighting game,Classic Mac OS; DOS; Amstrad CPC; ZX Spectrum; Commodore Amiga; Commodore 64,single-player video game,
Arkanoid,Q91282,Breakout clone,Classic Mac OS; DOS; Super Nintendo Entertainment System; Wii; Apple IIGS; Xbox 360; Atari ST; Amstrad CPC; iOS; ZX Spectrum; Commodore Amiga; Commodore 64; Nintendo Entertainment System; Nintendo DS; MSX,single-player video game,touchscreen
Back to the Future,Q91419,action-adventure game,Amstrad CPC; ZX Spectrum; Commodore 64,single-player video game,computer keyboard
Back to the Future,Q91501,action-adventure game,Nintendo Entertainment System,single-player video game,
The Humans,Q93655,platform game; puzzle video game,DOS; Super Nintendo Entertainment System; Atari Lynx; Game Boy; Atari Falcon; Atari Jaguar; Sega Genesis; Commodore Amiga; Amiga CD32; Amiga 1200; Atari ST; 3DO Interactive Multiplayer,single-player video game,
Little Inferno,Q93951,puzzle video game,Android; Linux; Microsoft Windows; iOS; Nintendo Switch; macOS,single-player video game,touchscreen
Cars 2,Q94355,third-person shooter; racing video game,Wii; Xbox 360; Microsoft Windows; iOS; PlayStation Portable; PlayStation 3; Nintendo DS; macOS,single-player video game; multiplayer video game,computer keyboard; touchscreen
Grand Theft Auto 2,Q94460,action-adventure game; cyberpunk video game,Microsoft Windows; Dreamcast; PlayStation; Game Boy Color,single-player video game; multiplayer video game,computer keyboard
Grand Theft Auto,Q94501,action-adventure game,Microsoft Windows; DOS; PlayStation; MS-DOS,single-player video game; multiplayer video game,mouse; computer keyboard; gamepad
Grand Theft Auto: Vice City Stories,Q94640,action-adventure game; video game with LGBT character,PlayStation 2; PlayStation 3; PlayStation Portable,single-player video game; multiplayer video game,gamepad
Grand Theft Auto: Vice City,Q94671,action-adventure game; landscape art,Xbox; Android; Microsoft Windows; PlayStation 2; iOS; PlayStation 4; PlayStation 3; macOS,single-player video game,mouse; computer keyboard; gamepad; touchscreen
Grand Theft Auto: Liberty City Stories,Q94778,action-adventure game; video game with LGBT character,Android; Microsoft Windows; PlayStation 2; iOS; PlayStation Portable; PlayStation 3,single-player video game; multiplayer video game,gamepad; touchscreen
Grand Theft Auto IV,Q94797,action-adventure game; video game with LGBT character,Microsoft Windows; PlayStation 3; Xbox One; Xbox 360,single-player video game; multiplayer video game,mouse; computer keyboard; gamepad
Grand Theft Auto: Chinatown Wars,Q94871,action-adventure game,Nintendo DS; Android; PlayStation Portable; iOS,single-player video game; multiplayer video game,touchscreen
Dan Dare: Pilot of the Future,Q99730,action game; action-adventure game,Amstrad CPC; ZX Spectrum; Commodore 64,single-player video game,computer keyboard
Blasteroids,Q100042,shoot 'em up; action game,DOS; Amstrad CPC; ZX Spectrum; Commodore Amiga; Commodore 64; Atari ST; MSX,single-player video game; multiplayer video game,computer keyboard
Mega Man X2,Q100096,action game; platform game; adventure game,Super Nintendo Entertainment System,single-player video game,
Akalabeth: World of Doom,Q102303,role-playing video game,DOS; iOS; Apple II series; Commodore 64,single-player video game,touchscreen
Second Life,Q106827,virtual world,Microsoft Windows; Linux; macOS; Macintosh operating systems,multiplayer video game,
Clannad,Q110607,harem; visual novel; romance adventure game,Android; Xbox 360; Microsoft Windows; PlayStation 2; PlayStation Portable; Nintendo Switch; PlayStation 3,single-player video game,touchscreen
Chromehounds,Q111683,action game,Xbox 360,single-player video game; multiplayer video game,gamepad
Lego Batman 2: DC Super Heroes,Q112912,action-adventure game; crossover fiction,PlayStation Vita; Wii; Android; Xbox 360; Microsoft Windows; PlayStation 2; iOS; PlayStation Portable; PlayStation 3; Nintendo DS; macOS,single-player video game; multiplayer video game,touchscreen
Cloud,Q113100,puzzle video game,Microsoft Windows,single-player video game,
Crusader of Centy,Q113106,action-adventure game,Sega Genesis,single-player video game,gamepad
Chivalry: Medieval Warfare,Q113289,action game,Linux; Microsoft Windows; PlayStation 4; PlayStation 3; macOS,multiplayer video game,mouse; computer keyboard
Metal Drift,Q113979,vehicular combat game,Microsoft Windows,single-player video game; multiplayer video game,
Memories Off 6: Next Relation,Q114922,,PlayStation 2,,
The Idolmaster Cinderella Girls,Q115508,music video game,Android; iOS,multiplayer video game,touchscreen
Memories Off: Yubikiri no Kioku,Q115529,visual novel; bishōjo game,PlayStation Vita; PlayStation 3; Xbox 360; PlayStation 4,single-player video game,
Memories Off 6: T-wave,Q115571,visual novel; bishōjo game,PlayStation Vita; PlayStation 2; PlayStation 3; Xbox 360,single-player video game,gamepad
Heavy Metal: F.A.K.K. 2,Q115806,action-adventure game; third-person shooter,Microsoft Windows; Linux; macOS; Classic Mac OS,single-player video game,computer keyboard
Guitar Hero,Q116578,rhythm game; music video game,PlayStation 2,hotseat; single-player video game; multiplayer video game,
Kal Online,Q117809,massively multiplayer online role-playing game,Microsoft Windows,multiplayer video game,computer keyboard
Trine,Q117859,platform game; indie game; puzzle video game,Linux; Microsoft Windows; PlayStation Portable; PlayStation 4; Nintendo Switch; PlayStation 3; macOS,co-op mode; single-player video game,computer keyboard
MineStorm,Q119538,shoot 'em up,Vectrex,single-player video game,
Minesweeper,Q126194,tilesweeper; puzzle video game,Microsoft Windows; Android; Linux; iOS,,
Transformice,Q126474,platform game,Microsoft Windows; Linux; macOS,multiplayer video game,mouse; computer keyboard
Anno 2070,Q128291,science fiction video game; post-apocalyptic video game; real-time strategy; city-building game,Microsoft Windows,single-player video game; multiplayer video game,
Q.U.B.E.,Q128561,science fiction video game; puzzle video game,PlayStation Vita; Android; Linux; Microsoft Windows; Xbox One; PlayStation 4; PlayStation 3; Wii U; macOS,single-player video game,touchscreen
0x10c,Q128794,science fiction video game; space flight simulation game,Microsoft Windows; Java Virtual Machine; Linux; macOS,single-player video game; multiplayer video game,
Banjo-Kazooie,Q129000,Christmas video game; platform game; collect-a-thon platformer,Nintendo 64; Xbox 360,single-player video game,Nintendo 64 controller
The Ball,Q129114,first-person shooter; puzzle video game,Microsoft Windows; Ouya,single-player video game,computer keyboard
Hitman: Absolution,Q129277,action-adventure game,Microsoft Windows; PlayStation 3; macOS; Xbox 360,single-player video game; multiplayer video game,mouse; computer keyboard
Digimon Story Lost Evolution,Q129401,life simulation game; role-playing video game,Nintendo DS,single-player video game,
Call of Duty Online,Q130530,,Microsoft Windows,single-player video game,
Divinity II,Q130578,action role-playing game,Microsoft Windows; Xbox 360,single-player video game,mouse; computer keyboard
Baby Boomer,Q130641,shooter game,Nintendo Entertainment System,single-player video game,
Basic Math,Q130678,educational video game,Atari 2600,single-player video game,
Killing Floor,Q130887,survival horror; indie game; first-person shooter,Microsoft Windows; Linux; macOS,co-op mode; single-player video game; multiplayer video game,mouse; computer keyboard
World of Warcraft,Q131007,massively multiplayer online role-playing game; fantasy video game; high fantasy; science fantasy video game,Microsoft Windows; macOS,multiplayer video game,mouse; computer keyboard
State of Decay,Q133427,post-apocalyptic video game; survival game,Microsoft Windows; Xbox One; Xbox 360,single-player video game,Xbox 360 controller; mouse; computer keyboard; Xbox Wireless Controller
Tales of Hearts,Q133441,role-playing video game,Nintendo DS; PlayStation Vita; iOS,single-player video game,touchscreen
X2: Wolverine's Revenge,Q133992,action game,Xbox; Microsoft Windows; PlayStation 2; Game Boy Advance; Nintendo GameCube,single-player video game,
The Lion King,Q134138,platform game,DOS; Super Nintendo Entertainment System; Game Boy; Linux; Microsoft Windows; Sega Genesis; Amiga 1200; Nintendo Entertainment System; Game Gear; macOS,single-player video game,
X-Men Legends II: Rise of Apocalypse,Q134208,action role-playing game; role-playing video game,Xbox; Microsoft Windows; PlayStation 2; PlayStation Portable; N-Gage; Nintendo GameCube,co-op mode; single-player video game; multiplayer video game,gamepad
ZZT,Q136569,game creation system; puzzle video game,DOS,single-player video game,computer keyboard
Z,Q136597,real-time strategy,DOS; Sega Saturn; Android; Microsoft Windows; iOS; PlayStation; macOS,single-player video game; multiplayer video game,mouse; computer keyboard; touchscreen
Halo 3,Q137802,science fiction video game; first-person shooter,Microsoft Windows; Xbox One; Xbox 360,co-op mode; single-player video game; multiplayer video game,Xbox 360 controller
FIFA 12,Q137924,association football video game,PlayStation Vita; Wii; Xbox 360; Microsoft Windows; PlayStation 2; iOS; PlayStation Portable; PlayStation 3; Nintendo DS,single-player video game; multiplayer video game,gamepad; touchscreen
FIFA 13,Q137977,association football video game,PlayStation Vita; Nintendo 3DS; Wii; Xbox 360; Microsoft Windows; PlayStation 2; iOS; PlayStation Portable; PlayStation 3; Wii U,single-player video game; multiplayer video game,Kinect; computer keyboard; gamepad; touchscreen; PlayStation Move
Gungrave,Q138130,science fiction video game; third-person shooter,PlayStation 2,single-player video game,
Lionheart,Q141610,platform game,Commodore Amiga,single-player video game,joystick
Perfect World,Q142972,massively multiplayer online role-playing game,Microsoft Windows,multiplayer video game,computer keyboard
Zak McKracken and the Alien Mindbenders,Q144559,science fiction video game; adventure game,Atari ST; DOS; Commodore Amiga; Commodore 64,single-player video game,computer keyboard
Bad Piggies,Q144728,puzzle video game,BlackBerry 10; Android; Microsoft Windows; iOS; Wii U; macOS,single-player video game,touchscreen
Excitebike,Q146124,racing video game,Nintendo 3DS; NEC PC-8800 series; Family Computer Disk System; Game Boy Advance; Nintendo Entertainment System; arcade video game machine; Sharp X1,single-player video game; multiplayer video game,joystick
ZanZarah: The Hidden Portal,Q147074,action-adventure game,Microsoft Windows,single-player video game; multiplayer video game,computer keyboard
Dizzy – The Ultimate Cartoon Adventure,Q147789,platform game; Metroidvania,Amstrad CPC; ZX Spectrum; Commodore 64,single-player video game,computer keyboard
Zauberschloß,Q148474,adventure game,Atari 8-bit family,single-player video game,computer keyboard
Grand Theft Auto III,Q149106,action-adventure game,Xbox; Android; Microsoft Windows; PlayStation 2; iOS; PlayStation 4; PlayStation 3; macOS,single-player video game,mouse; computer keyboard; gamepad; touchscreen
Tron,Q149612,Tron-like; action game,arcade video game machine,single-player video game; multiplayer video game,
Paper Mario,Q149998,platform game; role-playing video game,iQue Player; Nintendo 64; Wii; Nintendo Switch; Wii U,single-player video game,game controller
Fire Emblem: Shadow Dragon and the Blade of Light,Q150146,tactical role-playing game,Nintendo 3DS; Wii; Nintendo Switch; Nintendo Entertainment System; Wii U,single-player video game,
Fire Emblem: The Sacred Stones,Q150169,tactical role-playing game,Wii U; Game Boy Advance; Nintendo 3DS,single-player video game; multiplayer video game,
Fire Emblem,Q150180,tactical role-playing game,Nintendo Switch; Wii U; Game Boy Advance,single-player video game,
Mortal Kombat,Q150294,fighting game,DOS; Super Nintendo Entertainment System; Xbox; Game Gear; Sega CD; Game Boy; Sega Master System; Microsoft Windows; Sega Genesis; PlayStation 2; Commodore Amiga; PlayStation Portable; arcade video game machine,multiplayer video game,gamepad
Sonic the Hedgehog: Triple Trouble,Q151512,action game; platform game,Game Gear,single-player video game,
Sonic Chaos,Q151531,platform game,Sega Master System; Game Gear,single-player video game,gamepad
Sonic Colors,Q151614,platform game,Wii,single-player video game; multiplayer video game,Wii Remote
The Incredible Hulk: Ultimate Destruction,Q153423,action game; action-adventure game,PlayStation 2; Xbox; Nintendo GameCube,single-player video game,gamepad
The Incredible Hulk,Q153547,action game; action-adventure game,Wii; Xbox 360; Microsoft Windows; PlayStation 2; PlayStation 3,single-player video game,
The Incredible Hulk: The Pantheon Saga,Q153602,platform game,DOS; PlayStation,single-player video game,gamepad
The Temple of Elemental Evil,Q154090,role-playing video game,Microsoft Windows; macOS,single-player video game,mouse; computer keyboard
.kkrieger,Q160083,science fiction video game; action game; first-person shooter,Microsoft Windows,single-player video game,mouse; computer keyboard
James Bond 007: Nightfire,Q161188,first-person shooter,Xbox; Microsoft Windows; PlayStation 2; macOS; Nintendo GameCube,single-player video game; multiplayer video game,computer keyboard
007 Legends,Q161192,first-person shooter,Microsoft Windows; PlayStation 3; Wii U; Xbox 360,single-player video game; multiplayer video game,game controller
James Bond 007: Everything or Nothing,Q161202,third-person shooter,PlayStation 2; Xbox; Nintendo GameCube,co-op mode; single-player video game; multiplayer video game,game controller
FreeCol,Q162028,turn-based strategy video game; indie game,Microsoft Windows; Java Virtual Machine; Linux; macOS,single-player video game; multiplayer video game,mouse; computer keyboard
Bastard‼,Q162233,fighting game,Super Nintendo Entertainment System,,
Soul Blazer,Q162562,action role-playing game; role-playing video game,Super Nintendo Entertainment System,single-player video game,
Sonic & Sega All-Stars Racing,Q162707,crossover fiction; racing video game,Wii; Android; Xbox 360; Microsoft Windows; iOS; PlayStation 3; Nintendo DS; macOS,single-player video game; multiplayer video game,gamepad; touchscreen
Metro 2033,Q162751,post-apocalyptic fiction; first-person shooter; post-apocalyptic video game; survival horror; stealth game,Linux; Xbox 360; Microsoft Windows; Xbox One; PlayStation 4; macOS,single-player video game,mouse; computer keyboard
Commando Libya,Q163336,shoot 'em up,Commodore 64,single-player video game,
Counter-Strike,Q163628,tactical shooter; first-person shooter,Microsoft Windows; Linux; macOS; Xbox,multiplayer video game,mouse; computer keyboard; microphone
Herzog Zwei,Q164067,real-time strategy,Sega Genesis,single-player video game; multiplayer video game,gamepad
Circus,Q164478,arcade-style video game,Atari 2600,single-player video game; multiplayer video game,paddle
StarCraft,Q165929,real-time strategy,Microsoft Windows; Nintendo 64; macOS; Classic Mac OS,co-op mode; single-player video game; multiplayer video game,mouse; computer keyboard; gamepad
Beyond: Two Souls,Q166226,science fiction video game; action-adventure game; interactive film,Microsoft Windows; PlayStation 3; PlayStation 4,co-op mode; single-player video game; multiplayer video game,gamepad
Dragonica,Q166394,fantasy video game,Microsoft Windows; iOS,co-op mode; single-player video game; multiplayer video game,touchscreen
Tales of Pirates,Q166634,massively multiplayer online role-playing game; fantasy video game,Microsoft Windows,,computer keyboard
Hatsuyuki Sakura,Q167003,eroge; visual novel; bishōjo game,Microsoft Windows,single-player video game,
Pirates of the Caribbean,Q167330,role-playing video game; adventure game,Microsoft Windows; Game Boy Advance; Xbox,single-player video game,computer keyboard
Pirates of the Caribbean: Dead Man's Chest,Q167359,action-adventure game; adventure game,Nintendo DS; PlayStation Portable; Game Boy Advance,single-player video game; multiplayer video game,
1080° Snowboarding,Q168615,racing video game,Nintendo 64,single-player video game; multiplayer video game,gamepad
Photo Kano,Q169405,dating sim,PlayStation Vita,,
Ratchet & Clank,Q170003,third-person shooter; platform game,PlayStation Vita; PlayStation 2; PlayStation 3,single-player video game,Sixaxis; gamepad; DualShock 3; DualShock 2
New Super Mario Bros. Wii,Q170410,side-scrolling video game; platform game,Wii,co-op mode; single-player video game; multiplayer video game,Wii Remote
Super Mario Galaxy,Q170489,science fantasy video game; 3D platform game,Wii U; Wii,co-op mode; single-player video game,Wii Remote
Fever Pitch Soccer,Q172113,association football video game,Sega Genesis; Super Nintendo Entertainment System,single-player video game; multiplayer video game,
Pac-Man,Q173626,maze video game,DOS; Apple II series; Commodore VIC-20; IBM Personal Computer; Xbox 360; Microsoft Windows; Commodore Amiga; Intellivision; Atari 5200; Super Nintendo Entertainment System; Xbox One; iOS; Texas Instruments TI-99/4A; Windows Phone; Nintendo Entertainment System; Neo Geo Pocket Color; PlayStation 4; Atari 2600; Game Boy Color; Android; Family Computer Disk System; Game Boy Advance; Commodore 64; Game Gear; Atari 8-bit family; iPod Touch; Linux; ZX Spectrum; MSX,single-player video game,computer keyboard; joystick; touchscreen
Doki Doki Majo Shinpan!,Q174481,adventure game,Nintendo DS,single-player video game,
Panzer Elite,Q174489,tank simulation game; action game,Microsoft Windows,single-player video game; multiplayer video game,computer keyboard
Far Cry 2,Q176336,first-person shooter,Microsoft Windows; PlayStation 3; Xbox 360,single-player video game; multiplayer video game,
Tayutama: Kiss on my Deity,Q177432,harem; fantasy video game; visual novel; eroge,Microsoft Windows; Xbox 360,,
King's Quest II,Q177459,adventure game,DOS; Commodore Amiga; Apple IIGS; Atari ST,single-player video game,computer keyboard
Breakout,Q177491,action game; Breakout clone,Atari 2600; Atari 5200; Dynavision; Microsoft Windows; iOS; arcade video game machine,single-player video game; multiplayer video game,paddle
The Secret of Monkey Island,Q179247,adventure game,Classic Mac OS; DOS; Microsoft Windows; Sega Genesis; iOS; Commodore Amiga; PlayStation 3; Atari ST; macOS,single-player video game,mouse; touchscreen
Galaxy Trucker,Q179649,science fiction video game; indie game,Android; iOS,,touchscreen
GoldenEye: Rogue Agent,Q180181,first-person shooter,PlayStation 2; Nintendo DS; Xbox; Nintendo GameCube,single-player video game; multiplayer video game,gamepad
Heroes of Newerth,Q180434,indie game; multiplayer online battle arena,Microsoft Windows; Linux; macOS; Macintosh operating systems,multiplayer video game,computer keyboard
Air-Sea Battle,Q182251,action game,Atari 2600,single-player video game; multiplayer video game,
PokerTH,Q182261,simulation video game,Microsoft Windows; Android; Linux; macOS,,
Amnesia,Q182409,otome game; visual novel,PlayStation Vita; Android; Microsoft Windows; iOS; PlayStation Portable; Nintendo Switch,single-player video game,
Da Capo III,Q182507,harem; visual novel; eroge,Microsoft Windows; Linux; macOS,single-player video game,
The Sims 2,Q182771,life simulation game; video game with LGBT character; social simulation game,Xbox; Microsoft Windows; PlayStation 2; PlayStation Portable; Game Boy Advance; Nintendo DS; macOS; Nintendo GameCube,single-player video game; multiplayer video game,mouse; computer keyboard; gamepad
Champions of Regnum,Q182884,massively multiplayer online role-playing game; indie game; fantasy,Microsoft Windows; Linux; macOS,multiplayer video game,computer keyboard
TOCA Race Driver 2,Q183590,racing video game,Microsoft Windows; PlayStation 2; Xbox,single-player video game; multiplayer video game,gamepad
The Sims,Q184816,life simulation game; video game with LGBT character,Classic Mac OS; Xbox; Microsoft Windows; PlayStation 2; macOS; Nintendo GameCube,single-player video game,mouse
The Sims 3,Q185482,life simulation game; video game with LGBT character; social simulation game,Nintendo 3DS; Wii; BlackBerry OS; Android; Xbox 360; Microsoft Windows; iOS; Windows Phone; N-Gage; PlayStation 3; Nintendo DS; macOS,single-player video game; multiplayer video game,mouse; computer keyboard; gamepad; touchscreen
Time Zone,Q187116,adventure game,Apple II series; Apple II,single-player video game,computer keyboard
Zelda II: The Adventure of Link,Q187339,action role-playing game; role-playing video game,Nintendo Entertainment System; Family Computer Disk System; Game Boy Advance,single-player video game,
Split/Second,Q187351,racing video game,Java Virtual Machine; Xbox 360; Microsoft Windows; iOS; PlayStation Portable; PlayStation 3,single-player video game; multiplayer video game,touchscreen
RuneScape,Q187732,massively multiplayer online role-playing game; fantasy video game,Java Virtual Machine; Android; Java platform; Microsoft Windows; macOS,multiplayer video game,computer keyboard; touchscreen
Robin Hood: The Legend of Sherwood,Q187894,real-time tactics,Microsoft Windows; Linux; macOS,single-player video game,computer keyboard
Doom,Q189784,arcade-style video game; science fiction video game; first-person shooter; science fantasy video game,DOS; Xbox 360; Atari Jaguar; Microsoft Windows; PlayStation; Nintendo Switch; PlayStation 3; Solaris; Super Nintendo Entertainment System; Sega 32X; Sega Genesis; Xbox One; iOS; Flipper Zero; MS-DOS; macOS; PlayStation 4; NEC PC-9800 series; Classic Mac OS; 3DO Interactive Multiplayer; Xbox; Android; IRIX; Game Boy Advance; Amiga 1200; Sega Saturn; Acorn Archimedes; Linux; OS/2; NeXTSTEP; RiscPC,co-op mode; single-player video game; multiplayer video game,
Zeppelin: Giants of the Sky,Q191404,business simulation game,DOS; Commodore Amiga,single-player video game,mouse
Zero Wing,Q191965,shoot 'em up; side-scrolling video game,Sega Genesis; arcade video game machine; TurboGrafx-16,single-player video game,gamepad
Half-Life 2,Q193581,science fiction video game; post-apocalyptic video game; first-person shooter,Xbox; Android; Linux; Xbox 360; Microsoft Windows; PlayStation 3; macOS,single-player video game; multiplayer video game,mouse; computer keyboard; gamepad; touchscreen
Fight for Life,Q194673,fighting game,Atari Jaguar,single-player video game; multiplayer video game,
Lionheart: Legacy of the Crusader,Q195158,action game; role-playing video game; adventure game; roguelike; hack and slash; action role-playing game,Microsoft Windows,co-op mode; single-player video game; multiplayer video game,mouse; computer keyboard
Toy Story 3,Q195280,action game; action-adventure game,Wii; Xbox 360; Microsoft Windows; PlayStation 2; iOS; PlayStation Portable; PlayStation 3; Nintendo DS; PlayStation 4,single-player video game; multiplayer video game,gamepad; touchscreen
Conquiztador,Q195300,strategy video game,Android; iOS; web browser,,computer keyboard
Twinity,Q195739,life simulation game,Microsoft Windows,multiplayer video game,
Project X Zone,Q195764,tactical role-playing game; crossover fiction,Nintendo 3DS,single-player video game,
Street Fighter II Turbo,Q196255,fighting game,Sega Genesis; Super Nintendo Entertainment System; Virtual Boy; arcade video game machine,,joystick
The King of Fighters '94,Q198081,fighting game,Neo Geo; PlayStation 2; PlayStation,,
The King of Fighters 2002,Q198092,fighting game,Xbox; Neo Geo; Xbox 360; Microsoft Windows; PlayStation 2; Dreamcast; arcade video game machine,single-player video game; multiplayer video game,mouse; computer keyboard; joystick; gamepad
The King of Fighters '98,Q198096,fighting game,Neo Geo; Android; PlayStation 2; iOS; PlayStation; Dreamcast,,touchscreen
Assassin's Creed,Q200864,action-adventure game; video game with LGBT character,Microsoft Windows; PlayStation 3; Xbox 360,single-player video game,gamepad
SimTown,Q201390,city-building game; simulation video game,Microsoft Windows; Super Nintendo Entertainment System; Classic Mac OS,single-player video game,mouse
Torchlight,Q201792,indie game; action role-playing game; role-playing video game,Microsoft Windows; macOS,single-player video game,computer keyboard
1869,Q202810,strategy video game; trade simulation game,DOS; Commodore Amiga,single-player video game,mouse
Hattrick,Q202934,association football video game; massively multiplayer online game,web browser,multiplayer online game,computer keyboard
Dig Dug,Q204105,action game,Atari 2600; Atari 8-bit family; Atari 5200; Commodore VIC-20; Game Boy; MSX; Microsoft Windows; iOS; Family Computer Disk System; Game Boy Advance; Commodore 64; Nintendo Entertainment System; Atari 7800,single-player video game,joystick; touchscreen
Modern Combat 2: Black Pegasus,Q204350,first-person shooter,Android; iOS,single-player video game; multiplayer video game,touchscreen
Ballblazer,Q205508,action game; association football video game,Atari 5200; Apple II; Apple IIGS; MSX; Amstrad CPC; ZX Spectrum; Commodore 64; Nintendo Entertainment System; Atari ST; Atari 7800,single-player video game; multiplayer video game,gamepad
Battlefield 2,Q206653,first-person shooter,Microsoft Windows,co-op mode; single-player video game; multiplayer video game,mouse
Tamagotchi,Q207786,strategy video game,Nintendo DS,,
Call of Duty: World at War,Q207797,first-person shooter,Windows Mobile; Wii; Xbox 360; Microsoft Windows; PlayStation 3,co-op mode; single-player video game; multiplayer video game,computer keyboard
Warcraft: Orcs & Humans,Q207885,fantasy video game; real-time strategy,Microsoft Windows; DOS; Classic Mac OS,single-player video game; multiplayer video game,mouse; computer keyboard
Warcraft III: Reign of Chaos,Q207948,fantasy video game; real-time strategy,Microsoft Windows; macOS; Classic Mac OS,single-player video game; multiplayer video game,computer keyboard
Call of Duty: Black Ops,Q207986,first-person shooter,Wii; Xbox 360; Microsoft Windows; Xbox One; PlayStation 4; PlayStation 3; Nintendo DS; macOS,co-op mode; single-player video game; multiplayer video game,computer keyboard
Insane,Q209045,racing video game,Microsoft Windows,player versus player; single-player video game; multiplayer video game; offline multiplayer,computer keyboard
